placekey,location_name,latitude,longitude,street_address,city,region,postal_code,iso_country_code,top_category
zzw-222@62j-sj2-s3q,Whole Heart Provisions,42.362221000000005,-71.098786,298 Massachusetts Ave,Cambridge,MA,2139,US,Restaurants and Other Eating Places
zzw-224@62j-sjv-975,Kashmir,42.374318,-71.122075,52A Brattle St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
224-222@62j-sjv-9zz,Takemura Japanese Restaurant,42.372089,-71.121409,18 Eliot St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
233-223@62j-sj3-9mk,Halal Buns,42.374045,-71.100616,12 Springfield St,Cambridge,MA,2139,US,Restaurants and Other Eating Places
zzw-224@62j-sgg-kvf,Taqueria,42.360979,-71.113912,340 River St,Cambridge,MA,2139,US,Restaurants and Other Eating Places
zzy-228@62j-sk2-vmk,Akai Ryu Shabu & Sushi Restaurant,42.388544,-71.11863100000001,822 Somerville Ave Fl 2,Cambridge,MA,2140,US,Restaurants and Other Eating Places
22f-223@62j-sjv-9vf,Dig Inn,42.37219,-71.119562,82 Mount Auburn St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
24w-222@62j-shx-tjv,Starbucks,42.367464,-71.076109,100 Cambridgeside Pl Spc E108,Cambridge,MA,2141,US,Restaurants and Other Eating Places
255-223@62j-sjv-9zz,Upstairs On the Square,42.372446000000004,-71.12097800000001,91 Winthrop St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
22j-223@62j-sj2-c3q,Middlesex Cambridge,42.362559999999995,-71.098473,315 Massachusetts Ave,Cambridge,MA,2139,US,Restaurants and Other Eating Places
22p-222@62j-sjv-9mk,Beat Brew Hall,42.373551,-71.120249,13 Brattle St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
22s-222@62j-sjv-bc5,Ben & Jerry's,42.372735999999996,-71.119893,36 JFK St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
265-222@62j-sgg-jvz,Dimi's Place,42.35735,-71.107772,272 Brookline St,Cambridge,MA,2139,US,Restaurants and Other Eating Places
22b-222@62j-sjv-8jv,Cafe Pamplona,42.371775,-71.115461,12 Bow St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
237-222@62j-sk2-vs5,Passage to India,42.388759,-71.119907,1900 Massachusetts Ave,Cambridge,MA,2140,US,Restaurants and Other Eating Places
23g-222@62j-sjv-9zz,Shays Pub & Wine Bar,42.371790000000004,-71.120643,58 JFK St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
226-222@62j-sjv-9mk,Cambridge 1,42.374528000000005,-71.120006,27 Church St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
zzw-233@62j-shx-k9f,Panda Express,42.368501,-71.076611,100 Cambridgeside Pl,Cambridge,MA,2141,US,Restaurants and Other Eating Places
222-224@62j-sjt-68v,Revival Cafe & Kitchen,42.395103999999996,-71.145732,125 Cambridgepark Dr,Cambridge,MA,2140,US,Restaurants and Other Eating Places
22z-222@62j-shx-j7q,Sweet Touch Cafe,42.371195,-71.079971,241 Cambridge St,Cambridge,MA,2141,US,Restaurants and Other Eating Places
24m-223@62j-sjv-9zz,Charlie's Kitchen,42.372378000000005,-71.121496,10 Eliot St,Cambridge,MA,2138,US,Drinking Places (Alcoholic Beverages)
257-222@62j-sjv-9zz,Grendel's Den Restaurant & Bar,42.372469,-71.120857,89 Winthrop St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
zzw-225@62j-sj2-54v,Kendall Kitchen,42.366056,-71.092182,201 Broadway,Cambridge,MA,2139,US,Restaurants and Other Eating Places
226-222@62j-sjy-7nq,SOFRA Bakery & Cafe,42.374893,-71.150349,1 Belmont St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
23j-223@62j-sjv-9mk,The Sinclair,42.374007,-71.12065600000001,52 Church St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
zzw-228@62j-sjv-bc5,Le's Vietnamese Restaurant,42.372595000000004,-71.119313,35 Dunster St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
222-222@62j-sj3-4d9,Clover KND,42.362844,-71.087726,5 Cambridge Ctr,Cambridge,MA,2142,US,Restaurants and Other Eating Places
23s-222@62j-sj2-s5z,TT the Bear's Place,42.36345,-71.101676,10 Brookline St,Cambridge,MA,2139,US,Drinking Places (Alcoholic Beverages)
26n-227@62j-sjv-j7q,Cancun Taqueria Y Mas,42.370767,-71.113384,1105 Massachusetts Ave,Cambridge,MA,2138,US,Restaurants and Other Eating Places
227-222@62j-sjv-9mk,Border Cafe,42.374239,-71.120281,32 Church St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
25y-222@62j-sj2-vmk,Court House Seafood Restaurant,42.371483000000005,-71.084626,498 Cambridge St,Cambridge,MA,2141,US,Restaurants and Other Eating Places
zzw-222@62j-sj3-47q,Chipotle Mexican Grill,42.36255,-71.085605,255 Main St,Cambridge,MA,2142,US,Restaurants and Other Eating Places
22b-223@62j-sj3-2zf,EVOO Restaurant,42.363587,-71.083219,350 3rd St,Cambridge,MA,2142,US,Restaurants and Other Eating Places
23k-223@62j-sgg-j7q,Surya Indian Kitchen,42.35987,-71.10995799999999,114 Magazine St,Cambridge,MA,2139,US,Restaurants and Other Eating Places
23m-222@62j-shx-k4v,2nd Street Cafe,42.36853,-71.079323,89 2nd St,Cambridge,MA,2141,US,Restaurants and Other Eating Places
246-222@62j-sj3-9fz,Corazon De Frida,42.373670000000004,-71.098901,1287 Cambridge St,Cambridge,MA,2139,US,Restaurants and Other Eating Places
25d-223@62j-sj2-p35,Shalimar of India,42.364321999999994,-71.102388,546 Massachusetts Ave,Cambridge,MA,2139,US,Restaurants and Other Eating Places
25w-228@62j-sjv-j35,Harvest of India,42.369549,-71.111356,1001 Massachusetts Ave,Cambridge,MA,2138,US,Restaurants and Other Eating Places
zzw-222@62j-shx-ht9,Bambara,42.367971000000004,-71.075004,25 Edwin H Land Blvd,Cambridge,MA,2141,US,Restaurants and Other Eating Places
226-228@62j-sjv-bp9,The Heights Harvard Restaurant & Bar,42.372669,-71.118664,1350 Massachusetts Ave Fl 10,Cambridge,MA,2138,US,Restaurants and Other Eating Places
22h-223@62j-sjv-9mk,Club Passim,42.374223,-71.120026,47 Palmer St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
23f-222@62j-sj2-rzf,Toscanini's Ice Cream,42.363592,-71.099497,899 Main St,Cambridge,MA,2139,US,Restaurants and Other Eating Places
zzw-228@62j-sj3-33q,Kika Tapas,42.363444,-71.082966,5 Broad Canal Way,Cambridge,MA,2142,US,Restaurants and Other Eating Places
223-224@62j-sgg-5j9,Zephyr On the Charles,42.35376,-71.105473,575 Memorial Dr,Cambridge,MA,2139,US,Restaurants and Other Eating Places
22k-223@62j-sjv-9mk,Milk Bar,42.373613,-71.119502,3 Brattle St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
22x-222@62j-shx-jvz,Geppetto,42.372007,-71.075711,100 N First St,Cambridge,MA,2141,US,Restaurants and Other Eating Places
25n-222@62j-sjv-9zz,Tom's Bao Bao,42.372245,-71.120861,84 Winthrop St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
zzw-23j@62j-shx-k9f,Chicken Now,42.368204,-71.076154,100 Cambridgeside Pl,Cambridge,MA,2141,US,Restaurants and Other Eating Places
222-223@62j-sj3-9fz,Beauty's Pizza,42.372775,-71.099329,187 Hampshire St,Cambridge,MA,2139,US,Restaurants and Other Eating Places
25n-223@62j-sjs-v75,Hana Sushi,42.396633,-71.12982,2372 Massachusetts Ave,Cambridge,MA,2140,US,Restaurants and Other Eating Places
223-224@62j-sk2-y5f,Starbucks,42.390043,-71.118227,49 White St,Cambridge,MA,2140,US,Restaurants and Other Eating Places
25v-222@62j-sjv-b6k,Boloco Harvard,42.373128,-71.12337099999999,71 Mount Auburn St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
24x-222@62j-sjv-9zz,Park Restaurant & Bar,42.371882,-71.121144,59 JFK St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
24y-222@62j-sjv-975,The Just Crust,42.374303999999995,-71.121482,49B Brattle St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
zzw-225@62j-sjs-3yv,McDonald's,42.390334,-71.14072900000001,186 Alewife Brook Pkwy,Cambridge,MA,2138,US,Restaurants and Other Eating Places
25x-222@62j-sj3-4vz,Kendall,42.367616999999996,-71.081342,201 3rd St,Cambridge,MA,2141,US,Restaurants and Other Eating Places
24b-222@62j-sjv-g8v,Basta Pasta Trattoria,42.36469,-71.113258,319 Western Ave,Cambridge,MA,2139,US,Restaurants and Other Eating Places
25x-222@62j-sj2-j9z,Angelo's Pizza,42.372968,-71.110736,444 Broadway,Cambridge,MA,2138,US,Restaurants and Other Eating Places
235-222@62j-sj2-syv,1369 Coffee House,42.366566,-71.10529,757 Massachusetts Ave,Cambridge,MA,2139,US,Restaurants and Other Eating Places
23h-222@62j-sjv-g6k,The Coast Cafe,42.363096999999996,-71.11159599999999,233 River St,Cambridge,MA,2139,US,Restaurants and Other Eating Places
zzw-22q@62j-shx-k9f,Chipotle Mexican Grill,42.368604,-71.076589,100 Cambridgeside Pl Spc F21,Cambridge,MA,2141,US,Restaurants and Other Eating Places
zzy-223@62j-sjv-cwk,Whole Foods Food Truck,42.376302,-71.118932,1867 Cambridge St # 1879,Cambridge,MA,2138,US,Restaurants and Other Eating Places
224-222@62j-sjv-8qf,Blue Bottle Coffee,42.371488,-71.11684699999999,40 Bow St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
224-224@62j-sj4-syv,One Memorial Drive Cafe,42.361342,-71.08126700000001,1 Memorial Dr,Cambridge,MA,2142,US,Restaurants and Other Eating Places
225-222@62j-sj2-jn5,Dado Tea,42.369111,-71.109872,955 Massachusetts Ave,Cambridge,MA,2139,US,Restaurants and Other Eating Places
226-22c@62j-sk2-vcq,Yotopia,42.387287,-71.118641,1815 Massachusetts Ave,Cambridge,MA,2140,US,Restaurants and Other Eating Places
22n-222@62j-sjs-tgk,Jose's Mexican Restaurant,42.390184999999995,-71.132847,131 Sherman St,Cambridge,MA,2140,US,Restaurants and Other Eating Places
233-222@62j-sj2-8gk,All Star Pizza Bar,42.373252,-71.098086,1238 Cambridge St,Cambridge,MA,2139,US,Restaurants and Other Eating Places
zzw-227@62j-sj2-p35,Paris Baguette,42.364979,-71.102604,581 Massachusetts Ave,Cambridge,MA,2139,US,Restaurants and Other Eating Places
228-223@62j-sk2-vs5,Little Bake,42.389444,-71.119695,1925 Massachusetts Ave,Cambridge,MA,2140,US,Restaurants and Other Eating Places
22r-222@62j-sj2-6hq,Pepita Coffee,42.367946999999994,-71.09784300000001,284 Broadway,Cambridge,MA,2139,US,Restaurants and Other Eating Places
235-222@62j-sj2-s5z,Happy Lamb Hot Pot,42.364142,-71.101297,485 Massachusetts Ave,Cambridge,MA,2139,US,Restaurants and Other Eating Places
243-222@62j-shx-j7q,Dunkin',42.372246000000004,-71.07982,5 3rd St,Cambridge,MA,2141,US,Restaurants and Other Eating Places
27v-223@62j-sk3-649,Stone Hearth Pizza,42.385904,-71.11962199999999,1782 Massachusetts Ave,Cambridge,MA,2140,US,Restaurants and Other Eating Places
zzw-224@62j-shx-k9f,Burger King,42.368323,-71.07661800000001,100 Cambridgeside Pl,Cambridge,MA,2141,US,Restaurants and Other Eating Places
22x-223@62j-sj2-ffz,Beijing Tokyo,42.363347999999995,-71.096861,781 Main St,Cambridge,MA,2139,US,Restaurants and Other Eating Places
zzw-223@62j-sgg-kvf,WFM Coffee Bar,42.361022,-71.113927,340 River St,Cambridge,MA,2139,US,Restaurants and Other Eating Places
22w-222@62j-sj2-rkz,Donut Villa Diner,42.36587,-71.103442,20 Prospect St,Cambridge,MA,2139,US,Restaurants and Other Eating Places
26w-222@62j-sjv-kfz,Dunster Grille,42.368396999999995,-71.116023,945 Memorial Dr,Cambridge,MA,2138,US,Restaurants and Other Eating Places
zzw-226@62j-sk2-v9f,Tampopo,42.387335,-71.118481,1815 Massachusetts Ave,Cambridge,MA,2140,US,Restaurants and Other Eating Places
222-222@62j-sj3-35z,Cafe ArtScience,42.364429,-71.081038,650 E Kendall St,Cambridge,MA,2142,US,Restaurants and Other Eating Places
225-222@62j-sgg-fpv,Bisuteki Japanese Steak House,42.358653000000004,-71.11510799999999,777 Memorial Dr,Cambridge,MA,2139,US,Restaurants and Other Eating Places
228-223@62j-sjv-9zz,Amorino Gelato,42.372027,-71.120423,50 JFK St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
23j-222@62j-sj2-vzz,Aram's No 2 Pizza & Subs,42.371476,-71.081655,345 Cambridge St,Cambridge,MA,2141,US,Restaurants and Other Eating Places
zzw-222@62j-sk3-66k,The Abbey,42.385103,-71.119129,1755 Massachusetts Ave,Cambridge,MA,2140,US,Drinking Places (Alcoholic Beverages)
zzy-222@62j-sj2-75z,Dunkin',42.3731,-71.09354,1001 Cambridge St Shell,Cambridge,MA,2141,US,Restaurants and Other Eating Places
zzy-222@62j-sj2-c3q,Abide,42.362556,-71.098477,317 Massachusetts Ave,Cambridge,MA,2139,US,Restaurants and Other Eating Places
22f-222@62j-sk2-zzz,Temple Bar,42.382761,-71.11997,1688 Massachusetts Ave,Cambridge,MA,2138,US,Restaurants and Other Eating Places
244-222@62j-sjz-7t9,Cafe Barada,42.394752000000004,-71.12689499999999,2269 Massachusetts Ave,Cambridge,MA,2140,US,Restaurants and Other Eating Places
zzw-224@62j-sk2-vs5,Emack & Bolio's Ice Cream,42.388933,-71.119111,23 White St,Cambridge,MA,2140,US,Restaurants and Other Eating Places
224-223@62j-sjv-9zz,Tanjore,42.372040000000005,-71.121374,18 Eliot St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
228-222@62j-sj2-x89,Pronto Cafe,42.372118,-71.087085,645 Cambridge St,Cambridge,MA,2141,US,Restaurants and Other Eating Places
22p-224@62j-sj2-sdv,MrBeast Burger,42.363405,-71.097257,799 Main St,Cambridge,MA,2139,US,Restaurants and Other Eating Places
24k-224@62j-sk3-249,Shepard,42.381851,-71.12013,1 Shepard St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
zzw-222@62j-sj2-pgk,Pacific Street Cafe,42.359757,-71.101863,75 Pacific St,Cambridge,MA,2139,US,Restaurants and Other Eating Places
zzw-228@62j-sj2-s5z,Thelonious Monkfish,42.364103,-71.102124,524 Massachusetts Ave,Cambridge,MA,2139,US,Restaurants and Other Eating Places
zzw-22c@62j-sjv-j35,Domino's Pizza,42.369725,-71.111874,1033 Massachusetts Ave,Cambridge,MA,2138,US,Restaurants and Other Eating Places
zzy-222@62j-sjv-d5f,Harkness Commons,42.378043,-71.118674,Harvard Law School,Cambridge,MA,2138,US,Restaurants and Other Eating Places
22k-222@62j-sjv-9mk,&pizza,42.373559,-71.119619,3 Brattle St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
22v-222@62j-sjv-bc5,The Hourly Oyster House,42.372917,-71.119156,15 Dunster St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
243-225@62j-sjt-kxq,Henrietta's Table,42.372283,-71.12325799999999,1 Bennett St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
25x-223@62j-sjv-8jv,Kung Fu Tea,42.371255,-71.11466300000001,1160 Massachusetts Ave,Cambridge,MA,2138,US,Restaurants and Other Eating Places
zzy-223@62j-sk2-xdv,MEM Tea,42.393193,-71.120671,196 Elm St,Cambridge,MA,2144,US,Restaurants and Other Eating Places
zzy-226@62j-sk2-vs5,Toad,42.388985,-71.119948,1912 Massachusetts Ave,Cambridge,MA,2140,US,Drinking Places (Alcoholic Beverages)
22x-223@62j-sj3-9mk,Moona,42.374155,-71.101091,243 Hampshire St,Cambridge,MA,2139,US,Restaurants and Other Eating Places
zzy-222@62j-sjv-85f,Starbucks,42.373344,-71.11921099999999,1380 Mass Ave Harvard Yard,Cambridge,MA,2138,US,Restaurants and Other Eating Places
zzw-22b@62j-sj2-p35,Central Kitchen,42.364865,-71.10248399999999,567 Massachusetts Ave,Cambridge,MA,2139,US,Restaurants and Other Eating Places
222-223@62j-sj3-45f,Meadhall,42.363694,-71.087271,4 Cambridge Ctr,Cambridge,MA,2142,US,Restaurants and Other Eating Places
223-22f@62j-sj2-ckf,Alpine Bagel,42.35907,-71.09475400000001,84 Massachusetts Ave Bldg W20101,Cambridge,MA,2139,US,Restaurants and Other Eating Places
226-226@62j-sk2-vcq,Chocho's,42.387181,-71.11849000000001,1815 Massachusetts Ave,Cambridge,MA,2140,US,Restaurants and Other Eating Places
23n-222@62j-sj3-2zf,Barismo,42.364391,-71.08345600000001,295 3rd St,Cambridge,MA,2142,US,Restaurants and Other Eating Places
zzw-222@62j-sjv-b6k,Blackbird Doughnuts,42.37253,-71.11839499999999,15 Holyoke St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
222-223@62j-shx-k75,Tahaza Hummus Kitchen,42.369777,-71.076942,1 Canal Park,Cambridge,MA,2141,US,Restaurants and Other Eating Places
22k-222@62j-sj2-8gk,Casa Portugal,42.373117,-71.097391,1200 Cambridge St,Cambridge,MA,2139,US,Restaurants and Other Eating Places
26t-222@62j-sk3-649,Bagelsaurus,42.386094,-71.119577,1796 Massachusetts Ave,Cambridge,MA,2140,US,Restaurants and Other Eating Places
zzw-223@62j-sj2-54v,West Bridge,42.365994,-71.09102,1 Kendall Sq,Cambridge,MA,2139,US,Drinking Places (Alcoholic Beverages)
zzy-227@62j-sjv-9zz,Bonchon,42.37209,-71.120742,57 John F Kennedy St Cambridge,Cambridge,MA,2138,US,Restaurants and Other Eating Places
22d-222@62j-sjr-zcq,Dunkin',42.387839,-71.142286,517 Concord Ave,Cambridge,MA,2138,US,Restaurants and Other Eating Places
22j-222@62j-sj2-rkz,Starbucks,42.365675,-71.103734,655 Massachusetts Ave,Cambridge,MA,2139,US,Restaurants and Other Eating Places
239-222@62j-sj2-7dv,Earnest Drinks,42.367958,-71.090294,399 Binney St,Cambridge,MA,2142,US,Restaurants and Other Eating Places
248-222@62j-sjs-vpv,L'Impasto,42.394528,-71.126646,2263 Massachusetts Ave,Cambridge,MA,2140,US,Restaurants and Other Eating Places
zzw-22b@62j-sjv-8y9,Zoe's,42.370759,-71.113401,1105 Massachusetts Ave,Cambridge,MA,2138,US,Restaurants and Other Eating Places
228-224@62j-sj2-rtv,Cicada Coffee Bar,42.367571000000005,-71.102001,106 Prospect St,Cambridge,MA,2139,US,Restaurants and Other Eating Places
22b-223@62j-sk2-vs5,Rod Dee,42.388818,-71.119988,1906 Massachusetts Ave,Cambridge,MA,2140,US,Restaurants and Other Eating Places
247-222@62j-sj3-9s5,All Star Sandwich Bar,42.373506,-71.09818800000001,1245 Cambridge St,Cambridge,MA,2139,US,Restaurants and Other Eating Places
24d-222@62j-sgk-2x5,Sheesha Lounge,42.355148,-71.134045,139 Magazine St,Cambridge,MA,2139,US,Drinking Places (Alcoholic Beverages)
zzw-222@62j-sj2-bx5,Oath Pizza Central Square,42.361329,-71.096228,181 Massachusetts Ave Ste 1,Cambridge,MA,2139,US,Restaurants and Other Eating Places
22g-222@62j-sjv-9zz,Tommy Doyle's,42.372314,-71.12116999999999,96 Winthrop St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
223-224@62j-sjv-9mk,Harvard COOP Cafe,42.373762,-71.119833,1400 Massachusetts Ave,Cambridge,MA,2138,US,Restaurants and Other Eating Places
22z-222@62j-sj2-rzf,Cinderella's Bar & Resturant,42.363605,-71.099564,901 Main St,Cambridge,MA,2139,US,Restaurants and Other Eating Places
zzw-222@62j-shx-j7q,Route 66 Cafe,42.371293,-71.080101,251 Cambridge St Unit 626,Cambridge,MA,2141,US,Restaurants and Other Eating Places
22d-224@62j-sjv-9zz,Kaju Tofu House,42.372065,-71.120869,57 JFK St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
zzw-223@62j-sj3-2kz,Sumiao Hunan Kitchen,42.366023999999996,-71.081946,270 3rd St,Cambridge,MA,2142,US,Restaurants and Other Eating Places
zzw-224@62j-sk2-tsq,Wasabi at Porter,42.391257,-71.12347700000001,2088 Massachusetts Ave,Cambridge,MA,2140,US,Restaurants and Other Eating Places
zzy-222@62j-sj3-85f,BISq,42.373292,-71.095058,1071 Cambridge St,Cambridge,MA,2139,US,Restaurants and Other Eating Places
226-224@62j-sjv-bp9,Bon Me Smith Campus Center,42.372969,-71.118472,1350 Massachusetts Ave,Cambridge,MA,2138,US,Restaurants and Other Eating Places
229-222@62j-sj2-rzf,Desi Dhaba,42.363634999999995,-71.09994,401 Massachusetts Ave,Cambridge,MA,2139,US,Restaurants and Other Eating Places
24z-222@62j-sk3-649,Chalawan,42.385968,-71.119582,1790 Massachusetts Ave,Cambridge,MA,2140,US,Restaurants and Other Eating Places
24j-222@62j-sjz-k4v,The Table at Season to Taste,42.398351,-71.13101999999999,2447 Massachusetts Ave,Cambridge,MA,2140,US,Restaurants and Other Eating Places
222-222@62j-sj2-p7q,Green Street,42.364559,-71.104169,280 Green St,Cambridge,MA,2139,US,Drinking Places (Alcoholic Beverages)
222-222@62j-sjt-575,Summer Shack,42.393743,-71.141012,149 Alewife Brook Pkwy,Cambridge,MA,2140,US,Restaurants and Other Eating Places
226-222@62j-sk2-tqf,GLOW Boston,42.38949,-71.12061700000001,1950 Massachusetts Ave,Cambridge,MA,2140,US,Drinking Places (Alcoholic Beverages)
237-223@62j-sjs-v75,Copacabana Pizza & Grill,42.396733000000005,-71.12984300000001,2378 Massachusetts Ave,Cambridge,MA,2140,US,Restaurants and Other Eating Places
243-227@62j-sjt-kxq,Noir,42.372344,-71.12266600000001,1 Bennett St,Cambridge,MA,2138,US,Drinking Places (Alcoholic Beverages)
zzw-222@62j-sk2-zxq,Hi Rise Bread Company,42.381838,-71.11941,1663 Massachusetts Ave,Cambridge,MA,2138,US,Restaurants and Other Eating Places
zzw-224@62j-sj2-54v,The Smoke Shop BBQ Kendall Square,42.366383,-71.091443,1 Kendall Sq,Cambridge,MA,2139,US,Restaurants and Other Eating Places
zzw-224@62j-sk2-zvf,Giulia,42.382519,-71.119948,1682 Massachusetts Ave,Cambridge,MA,2138,US,Restaurants and Other Eating Places
zzw-225@62j-sjv-975,Lee's Restaurant,42.374257,-71.12123299999999,61 Church St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
223-222@62j-sk2-tsq,Darul Kabab,42.391157,-71.123274,2072 Massachusetts Ave,Cambridge,MA,2140,US,Restaurants and Other Eating Places
226-222@62j-sj2-t35,730 Tavern Kitchen & Patio,42.365967,-71.105213,730 Massachusetts Ave,Cambridge,MA,2139,US,Restaurants and Other Eating Places
24r-222@62j-sjt-kmk,Legal Sea Foods,42.372327,-71.123515,20 University Rd,Cambridge,MA,2138,US,Restaurants and Other Eating Places
224-222@62j-sj3-5vf,Boca Grande,42.366295,-71.07820600000001,149 1st St,Cambridge,MA,2142,US,Restaurants and Other Eating Places
244-222@62j-sj3-9fz,S & S Restaurant,42.3734,-71.099827,1334 Cambridge St,Cambridge,MA,2139,US,Restaurants and Other Eating Places
227-222@62j-sk3-2c5,Honeycomb Creamery,42.383215,-71.119849,1702 Massachusetts Ave,Cambridge,MA,2138,US,Restaurants and Other Eating Places
24m-222@62j-sjs-v75,Cambridge House of Pizza,42.397326,-71.130785,2420 Massachusetts Ave,Cambridge,MA,2140,US,Restaurants and Other Eating Places
222-223@62j-sj3-35z,Senses,42.364388,-71.081027,650 E Kendall St,Cambridge,MA,2142,US,Restaurants and Other Eating Places
225-224@62j-sgg-fpv,Club Caribe,42.358540999999995,-71.114827,777 Memorial Dr,Cambridge,MA,2139,US,Drinking Places (Alcoholic Beverages)
22x-223@62j-sk3-2c5,Tisan Coffee Express,42.383928999999995,-71.119848,1722 Massachusetts Ave,Cambridge,MA,2138,US,Restaurants and Other Eating Places
23d-222@62j-sj2-xbk,Elmendorf Baking Supplies,42.371654,-71.086311,594 Cambridge St,Cambridge,MA,2141,US,Restaurants and Other Eating Places
23x-222@62j-sj2-wx5,Souper Roll Up Cafe,42.372071999999996,-71.08889599999999,726 Cambridge St,Cambridge,MA,2141,US,Restaurants and Other Eating Places
26n-22c@62j-sjv-j7q,Lamole,42.370857,-71.113528,1105 Massachusetts Ave,Cambridge,MA,2138,US,Restaurants and Other Eating Places
zzw-222@62j-sj2-bzf,Flour Bakery Cafe,42.360789000000004,-71.096565,190 Massachusetts Ave,Cambridge,MA,2139,US,Restaurants and Other Eating Places
zzw-223@62j-sj3-89z,Richards,42.373435,-71.097193,1193 Cambridge St,Cambridge,MA,2139,US,Restaurants and Other Eating Places
zzw-223@62j-sjt-4y9,Julia's Polish Deli,42.395756,-71.141414,10 Cambridgepark Dr,Cambridge,MA,2140,US,Restaurants and Other Eating Places
22j-222@62j-sj2-bx5,Beantown Taqueria,42.361782,-71.097149,245 Massachusetts Ave,Cambridge,MA,2139,US,Restaurants and Other Eating Places
26n-225@62j-sjv-j7q,New Asia,42.370698,-71.113341,1105 Massachusetts Ave,Cambridge,MA,2138,US,Restaurants and Other Eating Places
224-222@62j-sjr-z75,Compliments Food,42.387895,-71.140417,26 New St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
